Name of the Bacteria ,Antibiotic Prescribed,MIC Value,Interpretation
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,NITROFURANTOIN,128,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
