Name of the Bacteria,Antibiotic Prescribed,MIC Value,Interpretation
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,8.0,R
ESCHERICHIA COLI,AMIKACIN,2.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,8.0,R
ESCHERICHIA COLI,AMIKACIN,2.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,NITROFURANTOIN,128.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
